t,x,y
7.333333e0,9.311473e0,-2.683847e0
7.366667e0,8.345479e0,-2.756773e0
7.400000e0,7.384307e0,-2.630802e0
7.433333e0,6.064178e0,-2.711762e0
7.466667e0,4.987992e0,-2.634007e0
7.500000e0,3.816348e0,-2.638591e0
7.533333e0,2.284632e0,-2.711667e0
7.566667e0,8.635537e-1,-2.653892e0
7.600000e0,3.972616e0,-2.734185e0
7.633333e0,9.753048e0,-2.403638e0
7.666667e0,1.076146e1,-2.881320e0
7.700000e0,1.325201e1,-2.847397e0
7.733333e0,1.957496e1,-3.712193e0
7.766667e0,2.637531e1,-5.021086e0
7.800000e0,2.901453e1,-5.705118e0
7.833333e0,2.797857e1,-4.114140e0
7.866667e0,2.361325e1,-2.964694e0
7.900000e0,2.058246e1,-5.566447e0
7.933333e0,2.299760e1,-4.722959e0
7.966667e0,2.377600e1,-4.375854e0
8.000000e0,2.285513e1,-4.609048e0
8.033333e0,2.230842e1,-4.425265e0
8.066667e0,2.301893e1,-4.541953e0
8.100000e0,2.274796e1,-4.441926e0
8.133333e0,2.055736e1,-4.348495e0
8.166667e0,1.886325e1,-3.985384e0
8.200000e0,1.778424e1,-3.948531e0
8.233333e0,1.638312e1,-3.832453e0
8.266667e0,1.546728e1,-3.858279e0
8.300000e0,1.432554e1,-3.652719e0
8.333333e0,1.277469e1,-3.576905e0
8.366667e0,1.082593e1,-3.151693e0
8.400000e0,8.547513e0,-3.176647e0
8.433333e0,6.585339e0,-3.281903e0
8.466667e0,5.244031e0,-3.083508e0
8.500000e0,4.382158e0,-2.781009e0
8.533333e0,3.736361e0,-2.716006e0
8.566667e0,3.041482e0,-2.320297e0
8.600000e0,3.862099e0,-2.690326e0
8.633333e0,1.081381e1,-2.758537e0
8.666667e0,1.475713e1,-2.942896e0
8.700000e0,1.572315e1,-3.155538e0
8.733333e0,1.850416e1,-3.080207e0
8.766667e0,2.295586e1,-4.154372e0
8.800000e0,2.745279e1,-4.845269e0
8.833333e0,2.899213e1,-4.854763e0
8.866667e0,2.885685e1,-5.120899e0
8.900000e0,2.794153e1,-4.799831e0
8.933333e0,2.753005e1,-4.794908e0
8.966667e0,2.801438e1,-4.861408e0
9.000000e0,2.851605e1,-4.915808e0
9.033333e0,2.894944e1,-4.899883e0
9.066667e0,2.886942e1,-4.859684e0
9.100000e0,2.842977e1,-4.825458e0
9.133333e0,2.705230e1,-4.796236e0
9.166667e0,2.422288e1,-4.197771e0
9.200000e0,2.001922e1,-3.591804e0
9.233333e0,1.855368e1,-3.504129e0
9.266667e0,1.771817e1,-3.557504e0
9.300000e0,1.665337e1,-3.339923e0
9.333333e0,1.559390e1,-3.278241e0
9.366667e0,1.459055e1,-3.376243e0
9.400000e0,1.378439e1,-3.042413e0
9.433333e0,1.262537e1,-2.680751e0
9.466667e0,1.119284e1,-2.858969e0
9.500000e0,9.370734e0,-2.865624e0
9.533333e0,7.762079e0,-2.774113e0
9.566667e0,6.400698e0,-2.654895e0
9.600000e0,5.423392e0,-2.369386e0
9.633333e0,1.097019e1,-2.449403e0
9.666667e0,1.601322e1,-2.380833e0
9.700000e0,1.722710e1,-2.972138e0
9.733333e0,2.011845e1,-3.187666e0
9.766667e0,2.653745e1,-3.910040e0
9.800000e0,3.327742e1,-4.730576e0
9.833333e0,3.623002e1,-5.251905e0
9.866667e0,3.383599e1,-5.020393e0
9.900000e0,2.978688e1,-3.350629e0
9.933333e0,2.802692e1,-4.335067e0
9.966667e0,3.038276e1,-4.284587e0
1.000000e1,3.190728e1,-4.291490e0
1.003333e1,3.142725e1,-4.486776e0
1.006667e1,3.025343e1,-4.201258e0
1.010000e1,3.045409e1,-4.334224e0
1.013333e1,3.045753e1,-4.297228e0
1.016667e1,2.796966e1,-3.996900e0
1.020000e1,2.436773e1,-3.568848e0
1.023333e1,2.303807e1,-3.351821e0
1.026667e1,2.205471e1,-3.337279e0
1.030000e1,2.108803e1,-3.381260e0
1.033333e1,1.998504e1,-3.339788e0
1.036667e1,1.867759e1,-3.428116e0
1.040000e1,1.762575e1,-3.439736e0
1.043333e1,1.660994e1,-3.445069e0
1.046667e1,1.525125e1,-3.427639e0
1.050000e1,1.409182e1,-3.253122e0
1.053333e1,1.259711e1,-3.209279e0
1.056667e1,1.131103e1,-3.163412e0
1.060000e1,1.032739e1,-2.984420e0
1.063333e1,1.286494e1,-2.806857e0
1.066667e1,1.959734e1,-3.306907e0
1.070000e1,2.158945e1,-3.893015e0
1.073333e1,2.257486e1,-3.855102e0
1.076667e1,2.667337e1,-4.342446e0
1.080000e1,3.299095e1,-4.655558e0
1.083333e1,3.662111e1,-4.752953e0
1.086667e1,3.692678e1,-5.594367e0
1.090000e1,3.546116e1,-5.762988e0
1.093333e1,3.411194e1,-4.678627e0
1.096667e1,3.437779e1,-5.129860e0
1.100000e1,3.553438e1,-5.189668e0
1.103333e1,3.588172e1,-5.286525e0
1.106667e1,3.561016e1,-5.313346e0
1.110000e1,3.525352e1,-5.175660e0
1.113333e1,3.490789e1,-5.226201e0
1.116667e1,3.391260e1,-4.882611e0
1.120000e1,3.039372e1,-4.447792e0
1.123333e1,2.603422e1,-4.176973e0
1.126667e1,2.489842e1,-4.095866e0
1.130000e1,2.399370e1,-3.951483e0
1.133333e1,2.289656e1,-3.735724e0
1.136667e1,2.191970e1,-3.507554e0
1.140000e1,2.062373e1,-3.217388e0
1.143333e1,2.010795e1,-3.396187e0
1.146667e1,1.908977e1,-3.428969e0
1.150000e1,1.769113e1,-3.179849e0
1.153333e1,1.664384e1,-3.014820e0
1.156667e1,1.526547e1,-3.051957e0
1.160000e1,1.378755e1,-2.973712e0
1.163333e1,1.362393e1,-2.933933e0
1.166667e1,2.015667e1,-3.220783e0
1.170000e1,2.262416e1,-3.299383e0
1.173333e1,2.358635e1,-3.618600e0
1.176667e1,2.833546e1,-3.969554e0
1.180000e1,3.537655e1,-5.446044e0
1.183333e1,4.075011e1,-5.693237e0
1.186667e1,4.215863e1,-5.746329e0
1.190000e1,4.027965e1,-6.882091e0
1.193333e1,3.691818e1,-6.757577e0
1.196667e1,3.525346e1,-4.551151e0
1.200000e1,3.582572e1,-5.194637e0
1.203333e1,3.686892e1,-5.994867e0
1.206667e1,3.685555e1,-5.703364e0
