t,x,y
1.213333e1,1.658704e2,-9.980284e0
1.216667e1,1.658797e2,-9.972615e0
1.220000e1,1.658885e2,-9.986242e0
1.223333e1,1.658810e2,-9.978724e0
1.226667e1,1.658110e2,-9.916305e0
1.230000e1,1.653133e2,-9.445129e0
1.233333e1,1.647486e2,-8.586876e0
1.236667e1,1.642480e2,-8.494803e0
1.240000e1,1.638278e2,-8.443282e0
1.243333e1,1.634033e2,-8.368254e0
1.246667e1,1.629432e2,-8.381834e0
1.250000e1,1.624728e2,-8.336035e0
1.253333e1,1.622821e2,-8.306803e0
1.256667e1,1.618757e2,-8.301064e0
1.260000e1,1.614667e2,-8.359562e0
1.263333e1,1.613351e2,-8.340302e0
1.266667e1,1.609572e2,-8.401076e0
1.270000e1,1.604808e2,-8.364310e0
1.273333e1,1.599877e2,-8.350700e0
1.276667e1,1.623135e2,-9.263252e0
1.280000e1,1.652242e2,-9.879115e0
1.283333e1,1.686902e2,-1.018334e1
1.286667e1,1.727938e2,-1.059523e1
1.290000e1,1.755989e2,-1.071131e1
1.293333e1,1.775854e2,-1.095068e1
1.296667e1,1.792092e2,-1.123737e1
1.300000e1,1.800604e2,-1.127795e1
1.303333e1,1.805835e2,-1.129045e1
1.306667e1,1.807668e2,-1.135370e1
1.310000e1,1.810575e2,-1.132426e1
1.313333e1,1.811131e2,-1.134594e1
1.316667e1,1.811543e2,-1.135201e1
1.320000e1,1.811742e2,-1.135178e1
1.323333e1,1.811806e2,-1.135295e1
1.326667e1,1.811720e2,-1.134976e1
1.330000e1,1.807042e2,-1.109560e1
1.333333e1,1.797984e2,-1.019222e1
1.336667e1,1.792088e2,-9.691219e0
1.340000e1,1.787558e2,-9.765981e0
1.343333e1,1.782579e2,-9.696925e0
1.346667e1,1.778125e2,-9.729813e0
1.350000e1,1.773000e2,-9.686890e0
1.353333e1,1.767628e2,-9.669426e0
1.356667e1,1.762120e2,-9.539969e0
1.360000e1,1.753173e2,-9.608854e0
1.363333e1,1.747474e2,-9.498924e0
1.366667e1,1.738425e2,-9.540251e0
1.370000e1,1.728761e2,-9.395651e0
1.373333e1,1.718834e2,-9.339577e0
1.376667e1,1.723140e2,-9.446684e0
1.380000e1,1.756006e2,-1.049348e1
1.383333e1,1.791720e2,-1.112074e1
1.386667e1,1.835864e2,-1.171198e1
1.390000e1,1.865808e2,-1.193039e1
1.393333e1,1.886867e2,-1.227457e1
1.396667e1,1.906737e2,-1.248674e1
1.400000e1,1.916529e2,-1.254577e1
1.403333e1,1.925054e2,-1.247808e1
1.406667e1,1.929412e2,-1.247284e1
1.410000e1,1.930519e2,-1.252485e1
1.413333e1,1.931087e2,-1.256629e1
1.416667e1,1.931268e2,-1.256446e1
1.420000e1,1.931331e2,-1.260338e1
1.423333e1,1.931253e2,-1.261940e1
1.426667e1,1.931137e2,-1.263607e1
1.430000e1,1.930395e2,-1.251957e1
1.433333e1,1.921686e2,-1.197449e1
1.436667e1,1.911889e2,-1.118272e1
1.440000e1,1.905080e2,-1.111327e1
1.443333e1,1.892147e2,-1.104965e1
1.446667e1,1.880979e2,-1.100549e1
1.450000e1,1.866786e2,-1.093831e1
1.453333e1,1.852413e2,-1.090546e1
1.456667e1,1.840578e2,-1.062152e1
1.460000e1,1.830738e2,-1.045410e1
1.463333e1,1.820791e2,-1.032390e1
1.466667e1,1.812922e2,-1.033235e1
1.470000e1,1.807673e2,-1.033654e1
1.473333e1,1.802471e2,-1.033860e1
1.476667e1,1.796931e2,-1.029820e1
1.480000e1,1.826614e2,-1.138547e1
1.483333e1,1.860798e2,-1.205521e1
1.486667e1,1.901752e2,-1.260728e1
1.490000e1,1.941277e2,-1.280109e1
1.493333e1,1.965680e2,-1.302342e1
1.496667e1,1.985814e2,-1.331836e1
1.500000e1,2.000359e2,-1.338249e1
1.503333e1,2.008677e2,-1.337657e1
1.506667e1,2.014089e2,-1.341417e1
1.510000e1,2.015323e2,-1.346116e1
1.513333e1,2.015624e2,-1.348024e1
1.516667e1,2.018373e2,-1.342085e1
1.520000e1,2.019226e2,-1.342941e1
1.523333e1,2.019450e2,-1.342760e1
1.526667e1,2.019636e2,-1.343763e1
1.530000e1,2.019143e2,-1.342197e1
1.533333e1,2.013866e2,-1.301596e1
1.536667e1,2.004379e2,-1.211964e1
1.540000e1,1.999327e2,-1.201193e1
1.543333e1,1.991354e2,-1.196741e1
1.546667e1,1.986335e2,-1.190289e1
1.550000e1,1.981237e2,-1.189099e1
1.553333e1,1.976105e2,-1.184256e1
1.556667e1,1.971109e2,-1.188437e1
1.560000e1,1.966098e2,-1.187800e1
1.563333e1,1.961078e2,-1.186726e1
1.566667e1,1.956332e2,-1.184092e1
1.570000e1,1.951544e2,-1.186067e1
1.573333e1,1.946203e2,-1.184847e1
1.576667e1,1.939907e2,-1.179750e1
1.580000e1,1.955763e2,-1.242060e1
1.583333e1,1.989144e2,-1.308808e1
1.586667e1,2.028415e2,-1.357018e1
1.590000e1,2.072945e2,-1.405631e1
1.593333e1,2.099094e2,-1.428128e1
1.596667e1,2.122545e2,-1.449351e1
1.600000e1,2.138971e2,-1.474267e1
1.603333e1,2.147987e2,-1.476291e1
1.606667e1,2.153637e2,-1.481002e1
1.610000e1,2.157558e2,-1.480832e1
1.613333e1,2.158691e2,-1.485084e1
1.616667e1,2.159058e2,-1.485326e1
1.620000e1,2.159191e2,-1.486072e1
1.623333e1,2.159322e2,-1.487061e1
1.626667e1,2.159221e2,-1.488036e1
1.630000e1,2.159046e2,-1.486968e1
1.633333e1,2.154109e2,-1.480850e1
1.636667e1,2.144122e2,-1.425987e1
1.640000e1,2.134488e2,-1.353698e1
1.643333e1,2.127897e2,-1.347036e1
1.646667e1,2.123435e2,-1.341328e1
1.650000e1,2.118867e2,-1.337590e1
1.653333e1,2.113564e2,-1.338185e1
1.656667e1,2.104889e2,-1.340512e1
1.660000e1,2.098386e2,-1.337194e1
1.663333e1,2.090186e2,-1.340077e1
1.666667e1,2.084209e2,-1.334279e1
1.670000e1,2.077254e2,-1.332981e1
1.673333e1,2.070119e2,-1.332586e1
1.676667e1,2.063879e2,-1.326381e1
